code,n____r,n_____s
662,82,18
525,81,19
532,81,19
790,79,21
644,100,0
583,0,0
634,80,20
743,83,17
524,83,17
520,83,17
635,82,18
800,77,23
512,80,20
537,84,16
716,81,19
692,81,19
821,100,0
756,100,0
746,79,21
502,84,16
630,82,18
559,79,21
757,85,15
506,80,20
736,86,14
514,79,21
523,81,19
754,100,0
767,100,0
637,83,17
648,80,20
519,79,21
564,84,16
517,82,18
584,85,15
575,83,17
759,100,0
602,80,20
868,79,21
515,80,20
598,100,0
510,81,19
752,80,20
546,79,21
604,82,18
522,83,17
535,81,19
673,85,15
600,81,19
623,82,18
682,79,21
542,84,16
751,81,19
679,79,21
505,79,21
606,77,23
676,83,17
765,79,21
565,100,0
516,86,14
801,84,16
802,84,16
649,83,17
745,100,0
724,81,19
513,82,18
570,82,18
866,83,17
571,78,22
670,81,19
509,84,16
592,82,18
798,0,0
773,100,0
563,81,19
755,100,0
658,80,20
518,80,20
545,82,18
567,79,21
647,100,0
636,83,17
566,81,19
569,79,21
533,80,20
710,84,16
766,0,0
744,79,21
618,81,19
691,83,17
758,100,0
527,81,19
718,81,19
639,83,17
561,81,19
574,82,18
734,100,0
603,78,22
747,100,0
616,82,18
557,84,16
702,81,19
582,100,0
642,80,20
643,82,18
551,82,18
749,100,0
839,79,21
541,84,16
558,100,0
722,79,21
693,81,19
803,80,20
529,82,18
651,80,20
503,77,23
669,81,19
737,100,0
553,100,0
813,84,16
640,82,18
711,100,0
528,80,20
617,81,19
613,82,18
687,86,14
762,100,0
686,79,21
628,81,19
828,79,21
698,77,23
659,82,18
622,80,20
501,80,20
544,80,20
740,0,0
633,79,21
650,82,18
652,81,19
534,81,19
631,74,26
632,81,19
804,80,20
656,78,22
597,100,0
675,82,18
504,79,21
753,82,18
508,80,20
820,82,18
500,83,17
552,0,0
521,80,20
717,100,0
560,82,18
764,100,0
811,81,19
556,77,23
573,83,17
611,86,14
538,81,19
610,81,19
862,80,20
576,77,23
770,84,16
661,100,0
641,82,18
825,80,20
807,81,19
855,80,20
507,81,19
819,82,18
657,85,15
612,79,21
624,76,24
725,82,18
588,80,20
881,81,19
619,84,16
543,81,19
638,100,0
609,80,20
555,80,20
530,85,15
539,80,20
581,84,16
547,80,20
605,80,20
540,83,17
531,84,16
789,81,19
671,82,18
760,100,0
709,83,17
526,85,15
626,100,0
625,81,19
511,82,18
549,100,0
705,86,14
548,82,18
554,79,21
627,80,20
678,79,21
577,79,21
550,80,20
810,79,21
536,81,19
771,77,23
596,100,0
