state,iat,tblack_0to10
 ,0.35808274908471033,6.453646002447735
AA,0.36855707016199846,6.682926829268292
AE,0.38695405759880935,6.372282608695652
AK,0.3568869503934446,6.517741320106829
AL,0.4116888516857069,6.4561803784726886
AP,0.43176566845123654,6.208588957055214
AR,0.38972350392652,6.462347783731126
AS,NA,NA
AZ,0.3768297489529098,6.55338553661907
CA,0.3573260377496165,6.609168241965974
CO,0.3324882541456165,6.820301821529192
CT,0.3989620863884025,6.585314977054652
DC,0.3312266407348786,6.726699369306237
DE,0.4125185013295479,6.522051996285979
FL,0.4121404257469824,6.392864382728563
FM,0.2875185212831948,7.4
GA,0.40361373024417624,6.4741789052069425
GU,0.4848341682127885,6.896551724137931
HI,0.3601353408193587,6.557983193277311
IA,0.3755506927756349,6.6043014296897535
ID,0.3480321608506911,6.696571160169094
IL,0.38969486569475,6.475163349226772
IN,0.3887915001278868,6.644127264481944
KS,0.37366885573957703,6.559997449630196
KY,0.37943539301462237,6.634237995824635
LA,0.40804362617239254,6.299443254817987
MA,0.3680600454484286,6.689327655610633
MD,0.38073907245328026,6.570988485120383
ME,0.3523221643090017,6.685401831129196
MH,0.450168211504505,NA
MI,0.38128851469923075,6.591287762923511
MN,0.36897417400459454,6.603368225561371
MO,0.38321209350397817,6.520996539792388
MP,0.12994317978713188,7.153846153846154
MS,0.41841458489099764,6.3533072546230445
MT,0.34271207336283055,6.684396503626558
NC,0.39215448267851283,6.60628872546181
ND,0.3802203214559648,6.443268186753529
NE,0.3822221519778073,6.659813328111742
NH,0.37806691877738957,6.649965135969718
NJ,0.4223111250659576,6.500737155414615
NM,0.33373288483983743,6.577447929135744
NV,0.3849221379422165,6.437570444583594
NY,0.38092917545550703,6.532084843603168
OH,0.3930902540684393,6.5667944155488644
OK,0.3740788589587225,6.537415578568212
OR,0.3128557069655263,6.760460018426152
PA,0.39170075755700723,6.5492025316455695
PR,0.39828487300941723,6.563451776649746
PW,0.461000162375488,NA
RI,0.3872456125077414,6.710886214442013
SC,0.4175243017783936,6.4685427265116875
SD,0.37385379321880985,6.660284847069811
TN,0.3866337025825316,6.5538574768378215
TX,0.3881064216133138,6.4159904051338765
UT,0.34369295616073325,6.975233434862935
VA,0.3867746820105428,6.605606433340913
VI,0.34937210750387293,7.126865671641791
VT,0.3508031218257953,6.795436117224603
WA,0.32946689714149346,6.71006958017356
WI,0.3830042784539852,6.51747167561121
WV,0.3952179739561128,6.540865384615385
WY,0.33113623696330147,6.490366088631984
